Patient,ROI,Patient-ROI,Image,RNA,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Subcellular cluster: DAB object,Num Subcellular spot: DAB object,Area µm^2,Perimeter µm
72215,4,72215_4,72215_4_IFNG.jpg,IFNG,Mac,Mac,Image,Ellipse,407.88,392.64,76,0,12,19234.6,494.4
72215,4,72215_4,72215_4_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Ellipse,411.36,407.76,1018,2,109,145090.5,1358.3
72215,4,72215_4,72215_4_TGFB.jpg,TGFB,Mac,Mac,Image,Ellipse,402.12,337.7,422,23,329,12584.2,412.88
72215,4,72215_4,72215_4_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,546.36,285.57,253,10,166,6335.7,332.1
72215,4,72215_4,72215_4_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Ellipse,393.96,347,3636,236,2505,104671.6,1180.1
72215,4,72215_4,72215_4_UBC.jpg,UBC,Lymph,Lymph,Image,Polygon,620.41,359.02,642,238,351,5500.4,303.7
72215,4,72215_4,72215_4_UBC.jpg,UBC,Mac,Mac,Image,Ellipse,461.88,423.36,1495,930,539,18737.7,491.94
72215,4,72215_4,72215_4_UBC.jpg,UBC,Immune cells,Immune cells,Image,Ellipse,461.88,430.44,13117,6543,5920,130905.8,1307.3
72215,5,72215_5,72215_5_DapB.jpg,DapB,Immune cells,Immune cells,Image,Ellipse,286.32,329.76,604,12,85,55883.8,842.03
72215,5,72215_5,72215_5_DapB.jpg,DapB,Mac,Mac,Image,Ellipse,333.72,345.84,27,0,0,5212.2,258.26
72215,5,72215_5,72215_5_DapB.jpg,DapB,Lymph,Lymph,Image,Polygon,386.5,349.9,83,0,0,6543.9,479.18
72215,5,72215_5,72215_5_IFNG.jpg,IFNG,Immune cells,Immune cells,Image,Ellipse,305.64,326.52,877,22,394,53591.2,828.09
72215,5,72215_5,72215_5_IFNG.jpg,IFNG,Mac,Mac,Image,Ellipse,333.72,345.84,31,0,5,5212.2,258.26
72215,5,72215_5,72215_5_IFNG.jpg,IFNG,Lymph,Lymph,Image,Polygon,358.99,396.9,105,1,29,5117.8,466.61
72215,5,72215_5,72215_5_TGFB.jpg,TGFB,Lymph,Lymph,Image,Polygon,383.01,379.75,386,85,234,5359.1,340.54
72215,5,72215_5,72215_5_TGFB.jpg,TGFB,Immune cells,Immune cells,Image,Ellipse,298.56,338.64,3399,780,2107,56590.6,859.72
72215,5,72215_5,72215_5_TGFB.jpg,TGFB,Mac,Mac,Image,Ellipse,279.96,380.64,233,59,149,5212.2,258.26
72215,5,72215_5,72215_5_UBC.jpg,UBC,Immune cells,Immune cells,Image,Ellipse,293.52,325.44,5735,2693,2685,49796.1,798.78
72215,5,72215_5,72215_5_UBC.jpg,UBC,Lymph,Lymph,Image,Polygon,337.64,407.78,514,208,264,3839,317.62
72215,5,72215_5,72215_5_UBC.jpg,UBC,Mac,Mac,Image,Ellipse,340.32,345,669,332,310,6370.2,286.6
